Número de Orden,SKU,Descripción SKU,Cantidad,Largo_cm,Ancho_cm,Alto_cm,Volumen_unitario_m3,Peso_unitario_kg,Volumen_total_m3,Peso_total_kg
ORD-CL-202612-000002,SKU-00537,Rodillo pintura,4,31.5,26.1,7.6,0.006248,0.374,0.024992,1.496
ORD-CL-202612-000002,SKU-00826,Router WiFi,1,24.7,20.9,7.9,0.004078,0.685,0.004078,0.685
ORD-CL-202612-000002,SKU-00144,Manguera jardín 20m,2,34.5,35.0,15.3,0.018475,4.256,0.03695,8.512
ORD-CL-202612-000002,SKU-00619,Espejo pared 80x60,5,93.1,71.9,7.6,0.050874,7.745,0.25437,38.725
ORD-CL-202612-000002,SKU-00640,Llave ajustable 8 pulgadas,5,24.7,8.0,2.9,0.000573,0.614,0.002865,3.07
ORD-CL-202612-000002,SKU-00654,Florero cerámica,2,24.6,25.2,41.6,0.025789,2.524,0.051578,5.048
ORD-CL-202612-000002,SKU-00130,Notebook 15 pulgadas,21,40.7,30.5,6.0,0.007448,2.12,0.156408,44.52
ORD-CL-202612-000002,SKU-00619,Espejo pared 80x60,2,93.1,71.9,7.6,0.050874,7.745,0.101748,15.49
ORD-CL-202612-000002,SKU-00181,Cámara seguridad,4,20.4,15.1,10.1,0.003111,0.658,0.012444,2.632
ORD-CL-202612-000002,SKU-00882,Smartphone caja,1,18.8,9.6,4.9,0.000884,0.547,0.000884,0.547
ORD-CL-202612-000002,SKU-00473,Estantería modular,10,100.4,49.3,20.2,0.099984,10.947,0.99984,109.47
ORD-CL-202612-000002,SKU-00325,Silicona cartucho,1,22.1,5.1,4.9,0.000552,0.328,0.000552,0.328
ORD-CL-202612-000002,SKU-00209,Monitor 24 pulgadas,3,57.1,45.2,14.3,0.036907,5.266,0.110721,15.798
ORD-CL-202612-000002,SKU-00611,Taladro eléctrico,5,36.3,28.6,10.1,0.010486,2.781,0.05243,13.905
ORD-CL-202612-000003,SKU-00551,Smart TV 43 pulgadas,5,110.1,70.3,14.6,0.113004,12.067,0.56502,60.335
ORD-CL-202612-000003,SKU-00721,Notebook 15 pulgadas,4,39.2,30.4,6.2,0.007388,1.927,0.029552,7.708
ORD-CL-202612-000003,SKU-00468,Cuadro decorativo 60x40,1,65.2,44.5,6.2,0.017989,2.622,0.017989,2.622
ORD-CL-202612-000003,SKU-00712,Espejo pared 80x60,5,93.5,67.7,8.1,0.051273,7.123,0.256365,35.615
ORD-CL-202612-000003,SKU-00686,Estantería modular,5,99.4,49.7,19.9,0.09831,12.677,0.49155,63.385
ORD-CL-202612-000003,SKU-00794,Taladro eléctrico,3,39.7,30.5,10.1,0.01223,2.596,0.03669,7.788
ORD-CL-202612-000003,SKU-00480,Escalera aluminio 4 peldaños,5,125.9,43.4,14.5,0.079229,7.799,0.396145,38.995
ORD-CL-202612-000003,SKU-00742,Llave ajustable 8 pulgadas,5,26.1,7.8,3.1,0.000631,0.645,0.003155,3.225
ORD-CL-202612-000003,SKU-00188,Florero cerámica,3,25.2,26.0,41.5,0.027191,2.586,0.081573,7.758
ORD-CL-202612-000003,SKU-00047,Smartphone caja,3,17.7,10.0,5.1,0.000903,0.581,0.002709,1.743
ORD-CL-202612-000003,SKU-00568,Silicona cartucho,2,22.8,5.0,5.1,0.000581,0.287,0.001162,0.574
ORD-CL-202612-000003,SKU-00546,Martillo carpintero,4,31.7,11.4,4.1,0.001482,0.921,0.005928,3.684
ORD-CL-202612-000003,SKU-00691,Cinta aisladora,2,9.9,9.9,2.0,0.000196,0.125,0.000392,0.25
ORD-CL-202612-000003,SKU-00012,Taladro eléctrico,1,37.4,28.5,9.5,0.010126,2.872,0.010126,2.872
ORD-CL-202612-000004,SKU-00618,Escalera aluminio 4 peldaños,8,125.1,46.3,15.2,0.08804,7.609,0.70432,60.872
ORD-CL-202612-000004,SKU-00079,Alicate universal,2,21.0,6.7,3.1,0.000436,0.372,0.000872,0.744
ORD-CL-202612-000004,SKU-00639,Estantería modular,2,97.4,48.4,19.4,0.091455,11.271,0.18291,22.542
ORD-CL-202612-000004,SKU-00515,Sierra circular,9,45.3,35.2,14.9,0.023759,5.492,0.213831,49.428
ORD-CL-202612-000004,SKU-00774,Estantería modular,1,96.7,52.3,20.2,0.10216,11.453,0.10216,11.453
ORD-CL-202612-000004,SKU-00809,Lámpara mesa,1,33.3,24.6,26.2,0.021463,2.295,0.021463,2.295
ORD-CL-202612-000004,SKU-00101,Cinta aisladora,2,9.5,10.2,2.0,0.000194,0.123,0.000388,0.246
ORD-CL-202612-000004,SKU-00195,Smart TV 43 pulgadas,9,108.9,66.8,14.7,0.106935,12.165,0.962415,109.485
ORD-CL-202612-000004,SKU-00208,Clavos caja 1kg,2,15.0,9.8,6.2,0.000911,1.109,0.001822,2.218
ORD-CL-202612-000004,SKU-00695,Monitor 24 pulgadas,5,57.2,46.3,14.7,0.038931,4.694,0.194655,23.47
ORD-CL-202612-000004,SKU-00594,Smartphone caja,4,17.5,10.3,5.2,0.000937,0.617,0.003748,2.468
ORD-CL-202612-000004,SKU-00789,Cinta aisladora,4,9.6,9.6,2.0,0.000184,0.128,0.000736,0.512
ORD-CL-202612-000004,SKU-00088,Router WiFi,7,23.9,19.9,8.4,0.003995,0.798,0.027965,5.586
ORD-CL-202612-000004,SKU-00890,Pintura látex 1L,1,12.2,11.5,14.1,0.001978,1.315,0.001978,1.315
ORD-CL-202612-000004,SKU-00783,Rodillo pintura,4,30.9,25.9,8.1,0.006483,0.426,0.025932,1.704
ORD-CL-202612-000004,SKU-00817,Tornillos caja 100u,3,7.9,6.0,4.1,0.000194,0.46,0.000582,1.38
ORD-CL-202612-000004,SKU-00129,Smartphone caja,4,17.9,9.7,5.0,0.000868,0.654,0.003472,2.616
ORD-CL-202612-000004,SKU-00082,Llave ajustable 8 pulgadas,1,24.6,8.0,2.9,0.000571,0.63,0.000571,0.63
ORD-CL-202612-000004,SKU-00843,Notebook 15 pulgadas,8,41.4,30.4,6.2,0.007803,2.037,0.062424,16.296
ORD-CL-202612-000004,SKU-00265,Broca acero 10mm,4,20.2,5.0,3.1,0.000313,0.197,0.001252,0.788
ORD-CL-202612-000004,SKU-00136,Tornillos caja 100u,3,7.9,6.3,3.8,0.000189,0.439,0.000567,1.317
ORD-CL-202612-000005,SKU-00204,Tarugos nylon bolsa 50u,5,12.0,7.8,3.0,0.000281,0.266,0.001405,1.33
ORD-CL-202612-000005,SKU-00421,Notebook 15 pulgadas,1,42.0,29.6,6.3,0.007832,2.162,0.007832,2.162
ORD-CL-202612-000005,SKU-00786,Cable eléctrico 10m,4,24.9,24.3,8.2,0.004962,1.263,0.019848,5.052
ORD-CL-202612-000005,SKU-00424,Espejo pared 80x60,1,92.1,70.1,7.8,0.050358,7.846,0.050358,7.846
ORD-CL-202612-000005,SKU-00730,Teclado inalámbrico,2,46.2,17.7,5.0,0.004089,0.915,0.008178,1.83
ORD-CL-202612-000005,SKU-00577,Cable eléctrico 10m,5,25.9,26.0,8.3,0.005589,1.261,0.027945,6.305
ORD-CL-202612-000005,SKU-00578,Router WiFi,5,24.5,20.2,8.0,0.003959,0.778,0.019795,3.89
ORD-CL-202612-000005,SKU-00799,Interruptor eléctrico,5,11.8,8.0,6.0,0.000566,0.149,0.00283,0.745
ORD-CL-202612-000005,SKU-00126,Tablet 10 pulgadas,2,27.1,19.9,6.1,0.00329,0.989,0.00658,1.978
ORD-CL-202612-000005,SKU-00649,Cable eléctrico 10m,3,24.9,25.2,8.2,0.005145,1.297,0.015435,3.891
ORD-CL-202612-000005,SKU-00688,Interruptor eléctrico,5,12.0,7.9,6.0,0.000569,0.139,0.002845,0.695
ORD-CL-202612-000005,SKU-00098,Cuadro decorativo 60x40,22,66.3,44.9,6.2,0.018457,2.903,0.406054,63.866
ORD-CL-202612-000005,SKU-00759,Espejo pared 80x60,3,87.1,67.2,8.3,0.048581,6.763,0.145743,20.289
ORD-CL-202612-000005,SKU-00850,Smartphone caja,10,17.9,9.8,4.9,0.00086,0.581,0.0086,5.81
ORD-CL-202612-000005,SKU-00544,Pintura látex 1L,5,12.1,11.6,14.2,0.001993,1.212,0.009965,6.06
ORD-CL-202612-000005,SKU-00094,Pintura látex 4L,17,20.1,20.6,24.6,0.010186,4.769,0.173162,81.073
ORD-CL-202612-000005,SKU-00675,Escalera aluminio 4 peldaños,2,122.1,43.6,15.1,0.080386,8.676,0.160772,17.352
ORD-CL-202612-000005,SKU-00436,Lámpara mesa,4,33.7,25.3,23.8,0.020292,2.113,0.081168,8.452
ORD-CL-202612-000005,SKU-00427,Interruptor eléctrico,3,12.3,7.8,5.8,0.000556,0.163,0.001668,0.489
ORD-CL-202612-000005,SKU-00561,Reloj pared,4,34.9,34.5,7.8,0.009392,1.016,0.037568,4.064
ORD-CL-202612-000005,SKU-00893,Tornillos caja 100u,5,7.9,6.0,4.1,0.000194,0.417,0.00097,2.085
ORD-CL-202612-000006,SKU-00886,Amoladora angular,3,38.8,32.8,11.6,0.014763,2.984,0.044289,8.952
ORD-CL-202612-000006,SKU-00441,Tablet 10 pulgadas,4,26.8,19.5,6.1,0.003188,0.963,0.012752,3.852
ORD-CL-202612-000006,SKU-00037,Cable eléctrico 10m,12,24.9,26.0,7.6,0.00492,1.126,0.05904,13.512
ORD-CL-202612-000006,SKU-00805,Estantería modular,4,102.3,51.1,21.0,0.109778,13.13,0.439112,52.52
ORD-CL-202612-000006,SKU-00602,Pintura látex 4L,3,19.1,20.4,23.9,0.009312,5.475,0.027936,16.425
ORD-CL-202612-000006,SKU-00264,Tornillos caja 100u,2,8.4,5.9,4.2,0.000208,0.47,0.000416,0.94
ORD-CL-202612-000006,SKU-00356,Router WiFi,2,24.1,20.1,7.7,0.00373,0.779,0.00746,1.558
ORD-CL-202612-000006,SKU-00392,Tablet 10 pulgadas,3,27.4,19.4,6.3,0.003349,0.896,0.010047,2.688
ORD-CL-202612-000006,SKU-00794,Taladro eléctrico,2,39.7,30.5,10.1,0.01223,2.596,0.02446,5.192
ORD-CL-202612-000006,SKU-00123,Silicona cartucho,16,23.4,5.1,4.8,0.000573,0.274,0.009168,4.384
ORD-CL-202612-000006,SKU-00061,Alicate universal,10,23.1,7.0,3.0,0.000485,0.366,0.00485,3.66
ORD-CL-202612-000007,SKU-00519,Martillo carpintero,2,33.2,12.0,4.0,0.001594,0.897,0.003188,1.794
ORD-CL-202612-000007,SKU-00096,Amoladora angular,7,39.9,32.0,11.7,0.014939,2.837,0.104573,19.859
ORD-CL-202612-000007,SKU-00832,Espejo pared 80x60,1,91.0,71.7,7.6,0.049588,7.623,0.049588,7.623
ORD-CL-202612-000007,SKU-00646,Broca acero 10mm,4,19.5,4.8,3.1,0.00029,0.171,0.00116,0.684
ORD-CL-202612-000007,SKU-00083,Interruptor eléctrico,4,11.8,8.2,6.3,0.00061,0.164,0.00244,0.656
ORD-CL-202612-000007,SKU-00201,Caja herramientas plástica,5,47.5,30.0,24.9,0.035483,3.517,0.177415,17.585
ORD-CL-202612-000007,SKU-00281,Smart TV 43 pulgadas,14,112.3,68.7,15.7,0.121126,12.064,1.695764,168.896
ORD-CL-202612-000007,SKU-00431,Rodillo pintura,9,28.7,24.8,8.3,0.005908,0.416,0.053172,3.744
ORD-CL-202612-000007,SKU-00584,Teclado inalámbrico,5,46.6,18.7,5.2,0.004531,0.863,0.022655,4.315
ORD-CL-202612-000007,SKU-00175,Clavos caja 1kg,16,15.3,9.6,6.2,0.000911,1.025,0.014576,16.4
ORD-CL-202612-000007,SKU-00526,Manguera jardín 20m,1,33.6,36.0,14.3,0.017297,4.101,0.017297,4.101
ORD-CL-202612-000007,SKU-00338,Cámara seguridad,3,19.8,14.6,10.0,0.002891,0.635,0.008673,1.905
ORD-CL-202612-000007,SKU-00827,Llave ajustable 8 pulgadas,3,25.5,8.0,2.9,0.000592,0.597,0.001776,1.791
ORD-CL-202612-000007,SKU-00179,Parlante Bluetooth,12,25.2,12.5,11.6,0.003654,0.997,0.043848,11.964
ORD-CL-202612-000007,SKU-00732,Notebook 15 pulgadas,2,41.6,30.0,5.9,0.007363,2.008,0.014726,4.016
ORD-CL-202612-000007,SKU-00035,Cable eléctrico 10m,5,26.0,26.1,7.8,0.005293,1.13,0.026465,5.65
ORD-CL-202612-000007,SKU-00656,Pintura látex 1L,4,12.2,11.6,14.3,0.002024,1.319,0.008096,5.276
ORD-CL-202612-000007,SKU-00358,Monitor 24 pulgadas,2,60.6,44.6,15.4,0.041623,4.824,0.083246,9.648
ORD-CL-202612-000007,SKU-00542,Tornillos caja 100u,2,8.3,5.7,3.8,0.00018,0.483,0.00036,0.966
ORD-CL-202612-000007,SKU-00264,Tornillos caja 100u,3,8.4,5.9,4.2,0.000208,0.47,0.000624,1.41
ORD-CL-202612-000007,SKU-00636,Caja herramientas plástica,2,49.1,29.8,25.7,0.037604,3.685,0.075208,7.37
ORD-CL-202612-000008,SKU-00716,Taladro eléctrico,8,38.8,30.4,9.8,0.011559,2.892,0.092472,23.136
ORD-CL-202612-000008,SKU-00194,Escalera aluminio 4 peldaños,3,118.1,46.7,15.6,0.086038,8.517,0.258114,25.551
ORD-CL-202612-000008,SKU-00697,Silicona cartucho,3,23.5,5.1,5.1,0.000611,0.273,0.001833,0.819
ORD-CL-202612-000008,SKU-00644,Espejo pared 80x60,1,86.0,70.5,7.6,0.046079,8.086,0.046079,8.086
ORD-CL-202612-000008,SKU-00867,Alicate universal,5,22.0,6.7,3.0,0.000442,0.327,0.00221,1.635
ORD-CL-202612-000008,SKU-00803,Router WiFi,12,25.9,19.8,8.2,0.004205,0.8,0.05046,9.6
ORD-CL-202612-000009,SKU-00683,Reloj pared,5,36.5,35.5,8.3,0.010755,1.163,0.053775,5.815
ORD-CL-202612-000009,SKU-00362,Parlante Bluetooth,4,24.8,11.8,11.5,0.003365,0.929,0.01346,3.716
ORD-CL-202612-000009,SKU-00209,Monitor 24 pulgadas,5,57.1,45.2,14.3,0.036907,5.266,0.184535,26.33
ORD-CL-202612-000009,SKU-00198,Llave ajustable 8 pulgadas,7,24.0,8.3,3.1,0.000618,0.595,0.004326,4.165
ORD-CL-202612-000009,SKU-00007,Caja herramientas plástica,7,51.8,28.7,24.9,0.037018,3.518,0.259126,24.626
ORD-CL-202612-000009,SKU-00177,Cuadro decorativo 60x40,4,63.8,45.3,6.1,0.01763,2.898,0.07052,11.592
ORD-CL-202612-000009,SKU-00056,Parlante Bluetooth,17,25.2,11.6,11.7,0.00342,0.984,0.05814,16.728
ORD-CL-202612-000009,SKU-00550,Reloj pared,2,33.9,35.1,8.0,0.009519,1.004,0.019038,2.008
ORD-CL-202612-000009,SKU-00661,Tarugos nylon bolsa 50u,5,11.9,8.1,3.0,0.000289,0.266,0.001445,1.33
ORD-CL-202612-000009,SKU-00064,Florero cerámica,2,24.5,26.2,40.2,0.025804,2.422,0.051608,4.844
ORD-CL-202612-000009,SKU-00484,Interruptor eléctrico,11,11.4,8.3,6.1,0.000577,0.162,0.006347,1.782
ORD-CL-202612-000009,SKU-00789,Cinta aisladora,5,9.6,9.6,2.0,0.000184,0.128,0.00092,0.64
ORD-CL-202612-000009,SKU-00140,Caja herramientas plástica,10,48.9,29.5,24.8,0.035775,3.446,0.35775,34.46
ORD-CL-202612-000009,SKU-00345,Estantería modular,3,95.0,51.1,20.5,0.099517,11.495,0.298551,34.485
ORD-CL-202612-000009,SKU-00002,Escalera aluminio 4 peldaños,11,118.8,44.3,14.5,0.076311,7.662,0.839421,84.282
ORD-CL-202612-000010,SKU-00215,Router WiFi,2,24.0,19.8,8.1,0.003849,0.692,0.007698,1.384
ORD-CL-202612-000010,SKU-00461,Broca acero 10mm,1,19.6,5.0,3.0,0.000294,0.195,0.000294,0.195
ORD-CL-202612-000010,SKU-00485,Cámara seguridad,4,20.0,15.4,10.0,0.00308,0.707,0.01232,2.828
ORD-CL-202612-000010,SKU-00304,Mouse óptico,2,15.0,9.5,5.1,0.000727,0.196,0.001454,0.392
ORD-CL-202612-000010,SKU-00178,Router WiFi,2,26.2,20.5,7.7,0.004136,0.787,0.008272,1.574
ORD-CL-202612-000010,SKU-00390,Espejo pared 80x60,4,87.4,70.8,7.7,0.047647,7.331,0.190588,29.324
ORD-CL-202612-000010,SKU-00203,Silicona cartucho,7,23.5,5.2,4.9,0.000599,0.272,0.004193,1.904
ORD-CL-202612-000010,SKU-00674,Smartphone caja,5,18.8,10.3,5.0,0.000968,0.602,0.00484,3.01
ORD-CL-202612-000010,SKU-00421,Notebook 15 pulgadas,1,42.0,29.6,6.3,0.007832,2.162,0.007832,2.162
ORD-CL-202612-000010,SKU-00358,Monitor 24 pulgadas,8,60.6,44.6,15.4,0.041623,4.824,0.332984,38.592
ORD-CL-202612-000010,SKU-00033,Cámara seguridad,1,20.9,15.5,10.0,0.00324,0.603,0.00324,0.603
ORD-CL-202612-000010,SKU-00403,Taladro eléctrico,28,37.8,29.0,10.4,0.0114,2.932,0.3192,82.096
ORD-CL-202612-000010,SKU-00156,Silicona cartucho,2,23.3,5.0,5.0,0.000583,0.302,0.001166,0.604
ORD-CL-202612-000011,SKU-00100,Smart TV 43 pulgadas,2,107.1,70.0,14.4,0.107957,12.513,0.215914,25.026
ORD-CL-202612-000011,SKU-00426,Tornillos caja 100u,3,7.7,5.7,4.0,0.000176,0.45,0.000528,1.35
ORD-CL-202612-000011,SKU-00551,Smart TV 43 pulgadas,26,110.1,70.3,14.6,0.113004,12.067,2.938104,313.742
ORD-CL-202612-000011,SKU-00725,Manguera jardín 20m,5,36.0,34.6,14.6,0.018186,4.494,0.09093,22.47
ORD-CL-202612-000011,SKU-00161,Rodillo pintura,4,29.0,24.5,8.2,0.005826,0.404,0.023304,1.616
ORD-CL-202612-000011,SKU-00396,Silicona cartucho,1,23.3,5.0,5.0,0.000583,0.298,0.000583,0.298
ORD-CL-202612-000011,SKU-00853,Pintura látex 4L,11,19.5,21.0,25.4,0.010401,5.17,0.114411,56.87
ORD-CL-202612-000011,SKU-00726,Broca acero 10mm,27,19.8,5.1,3.1,0.000313,0.178,0.008451,4.806
ORD-CL-202612-000011,SKU-00618,Escalera aluminio 4 peldaños,2,125.1,46.3,15.2,0.08804,7.609,0.17608,15.218
ORD-CL-202612-000011,SKU-00586,Pintura látex 1L,5,12.1,11.9,13.7,0.001973,1.344,0.009865,6.72
ORD-CL-202612-000011,SKU-00212,Taladro eléctrico,12,37.4,30.9,9.5,0.010979,2.656,0.131748,31.872
ORD-CL-202612-000011,SKU-00317,Pintura látex 4L,3,20.2,20.2,24.2,0.009875,4.781,0.029625,14.343
ORD-CL-202612-000011,SKU-00432,Florero cerámica,5,25.0,25.0,40.2,0.025125,2.737,0.125625,13.685
ORD-CL-202612-000011,SKU-00500,Smart TV 43 pulgadas,3,113.7,69.8,15.0,0.119044,11.343,0.357132,34.029
ORD-CL-202612-000011,SKU-00768,Broca acero 10mm,4,19.5,5.0,2.9,0.000283,0.196,0.001132,0.784
ORD-CL-202612-000011,SKU-00010,Router WiFi,3,24.8,20.0,7.8,0.003869,0.692,0.011607,2.076
ORD-CL-202612-000011,SKU-00693,Alicate universal,5,21.0,7.0,2.9,0.000426,0.372,0.00213,1.86
ORD-CL-202612-000011,SKU-00620,Cinta aisladora,3,10.1,10.3,2.1,0.000218,0.12,0.000654,0.36
ORD-CL-202612-000011,SKU-00055,Router WiFi,4,25.4,19.3,7.6,0.003726,0.775,0.014904,3.1
ORD-CL-202612-000012,SKU-00611,Taladro eléctrico,4,36.3,28.6,10.1,0.010486,2.781,0.041944,11.124
ORD-CL-202612-000012,SKU-00348,Alicate universal,2,22.0,7.0,3.0,0.000462,0.361,0.000924,0.722
ORD-CL-202612-000012,SKU-00289,Florero cerámica,3,23.8,23.9,41.5,0.023606,2.53,0.070818,7.59
ORD-CL-202612-000012,SKU-00508,Alicate universal,19,22.0,7.2,3.1,0.000491,0.355,0.009329,6.745
ORD-CL-202612-000012,SKU-00580,Espejo pared 80x60,2,90.6,70.5,7.9,0.05046,7.434,0.10092,14.868
ORD-CL-202612-000013,SKU-00134,Silicona cartucho,2,23.5,5.0,4.8,0.000564,0.297,0.001128,0.594
ORD-CL-202612-000013,SKU-00747,Tarugos nylon bolsa 50u,2,11.7,7.7,3.1,0.000279,0.235,0.000558,0.47
ORD-CL-202612-000013,SKU-00265,Broca acero 10mm,8,20.2,5.0,3.1,0.000313,0.197,0.002504,1.576
ORD-CL-202612-000013,SKU-00045,Cinta aisladora,4,9.8,10.0,2.1,0.000206,0.109,0.000824,0.436
ORD-CL-202612-000013,SKU-00051,Manguera jardín 20m,3,34.7,36.1,15.6,0.019542,4.042,0.058626,12.126
ORD-CL-202612-000013,SKU-00407,Tablet 10 pulgadas,3,28.4,20.9,6.0,0.003561,0.838,0.010683,2.514
ORD-CL-202612-000013,SKU-00837,Caja herramientas plástica,5,48.0,31.5,24.9,0.037649,3.358,0.188245,16.79
ORD-CL-202612-000014,SKU-00514,Cuadro decorativo 60x40,3,61.9,46.4,5.9,0.016946,3.005,0.050838,9.015
ORD-CL-202612-000014,SKU-00786,Cable eléctrico 10m,2,24.9,24.3,8.2,0.004962,1.263,0.009924,2.526
ORD-CL-202612-000014,SKU-00015,Teclado inalámbrico,1,45.9,17.6,5.1,0.00412,0.865,0.00412,0.865
ORD-CL-202612-000014,SKU-00735,Caja herramientas plástica,2,51.4,28.5,25.0,0.036622,3.622,0.073244,7.244
ORD-CL-202612-000014,SKU-00704,Cable eléctrico 10m,3,24.3,25.9,8.4,0.005287,1.241,0.015861,3.723
ORD-CL-202612-000014,SKU-00160,Pintura látex 4L,2,19.8,20.6,24.8,0.010115,5.332,0.02023,10.664
ORD-CL-202612-000014,SKU-00367,Rodillo pintura,3,28.8,25.4,8.1,0.005925,0.436,0.017775,1.308
ORD-CL-202612-000014,SKU-00295,Tornillos caja 100u,5,7.7,6.3,4.1,0.000199,0.406,0.000995,2.03
ORD-CL-202612-000014,SKU-00364,Tarugos nylon bolsa 50u,5,12.6,8.3,3.0,0.000314,0.26,0.00157,1.3
ORD-CL-202612-000014,SKU-00245,Espejo pared 80x60,1,94.3,67.2,8.1,0.051329,7.978,0.051329,7.978
ORD-CL-202612-000014,SKU-00348,Alicate universal,5,22.0,7.0,3.0,0.000462,0.361,0.00231,1.805
ORD-CL-202612-000014,SKU-00688,Interruptor eléctrico,9,12.0,7.9,6.0,0.000569,0.139,0.005121,1.251
ORD-CL-202612-000014,SKU-00548,Broca acero 10mm,7,19.3,5.1,3.0,0.000295,0.175,0.002065,1.225
ORD-CL-202612-000014,SKU-00891,Pintura látex 4L,2,20.5,21.0,24.9,0.010719,5.184,0.021438,10.368
ORD-CL-202612-000014,SKU-00706,Parlante Bluetooth,1,24.5,12.5,12.3,0.003767,0.872,0.003767,0.872
ORD-CL-202612-000014,SKU-00498,Caja herramientas plástica,3,51.0,29.1,25.3,0.037548,3.737,0.112644,11.211
ORD-CL-202612-000015,SKU-00340,Caja herramientas plástica,3,47.5,29.0,25.8,0.035539,3.391,0.106617,10.173
ORD-CL-202612-000015,SKU-00662,Cámara seguridad,4,19.9,14.6,9.8,0.002847,0.707,0.011388,2.828
ORD-CL-202612-000015,SKU-00584,Teclado inalámbrico,2,46.6,18.7,5.2,0.004531,0.863,0.009062,1.726
ORD-CL-202612-000015,SKU-00750,Pintura látex 4L,2,19.7,19.8,25.4,0.009908,5.404,0.019816,10.808
ORD-CL-202612-000015,SKU-00565,Cable eléctrico 10m,10,25.1,25.5,8.2,0.005248,1.169,0.05248,11.69
ORD-CL-202612-000015,SKU-00659,Pintura látex 4L,7,19.1,20.3,24.5,0.009499,5.294,0.066493,37.058
ORD-CL-202612-000015,SKU-00757,Interruptor eléctrico,1,11.7,8.1,5.8,0.00055,0.15,0.00055,0.15
